period,variant,axis,tag,annual_return,sharpe_ratio,max_drawdown,final_value,trade_count
LONG_2013_2026,Exph_v3_base,N,SEQ15D_LONG_2013_2026_Exph_v3_base,0.3260154889146281,1.5938958192477128,-0.2011415747996146,22676268.011909835,11005
LONG_2013_2026,Exph_v3_n_up1,N,SEQ15D_LONG_2013_2026_Exph_v3_n_up1,0.3140019580255206,1.5600168626144542,-0.2148747877505247,19678790.785781454,11512
LONG_2013_2026,Exph_v3_n_down1,N,SEQ15D_LONG_2013_2026_Exph_v3_n_down1,0.3286362272112287,1.5711892571869457,-0.2085150839108629,23157018.9167164,10147
LONG_2013_2026,Exph_v3_exp_tighter,Exposure,SEQ15D_LONG_2013_2026_Exph_v3_exp_tighter,0.3245249995864264,1.586276322592723,-0.2023718968491854,22255637.42486227,11215
LONG_2013_2026,Exph_v3_exp_looser,Exposure,SEQ15D_LONG_2013_2026_Exph_v3_exp_looser,0.3280335140099522,1.6030650829758084,-0.1993637620841721,23249897.115057617,10874
2026_NOWARMUP,Exph_v3_base,N,SEQ15D_2026_NOWARMUP_Exph_v3_base,1.0717278646029764,3.5374456547636304,-0.1586221869567853,989720.2002704472,568
2026_NOWARMUP,Exph_v3_n_up1,N,SEQ15D_2026_NOWARMUP_Exph_v3_n_up1,1.0498419273837791,3.607250785917664,-0.1531315137743747,977747.7526025674,599
2026_NOWARMUP,Exph_v3_n_down1,N,SEQ15D_2026_NOWARMUP_Exph_v3_n_down1,1.0470190313937418,3.230353668908623,-0.1645302930282965,969388.895414554,506
2026_NOWARMUP,Exph_v3_exp_tighter,Exposure,SEQ15D_2026_NOWARMUP_Exph_v3_exp_tighter,1.0530364869187598,3.4839888506933256,-0.1589265593017669,977651.214679501,571
2026_NOWARMUP,Exph_v3_exp_looser,Exposure,SEQ15D_2026_NOWARMUP_Exph_v3_exp_looser,1.0904816650061493,3.588057178807285,-0.1579557904855802,1001932.0326810174,557
