ts_code,buy_net,sell_net,final_mv,ending_shares,pnl,turnover_buy,trades,buys,sells,strategy,is_dynamic_only,is_static_pool
159887.SZ,15757274.324700002,15628864.70178,0.0,0,-128409.62292000093,15757274.324700002,59,32,27,FINAL13_F2v3_ORIG38_G2PIT,False,True
159605.SZ,4358555.536800001,4243971.5359,0.0,0,-114584.00090000127,4358555.536800001,22,13,9,FINAL13_F2v3_ORIG38_G2PIT,True,False
512880.SH,11620257.286740001,11522159.40714,0.0,0,-98097.8796000015,11620257.286740001,104,60,44,FINAL13_F2v3_ORIG38_G2PIT,False,True
512660.SH,7075517.62056,6995713.27746,0.0,0,-79804.34310000017,7075517.62056,56,31,25,FINAL13_F2v3_ORIG38_G2PIT,True,False
562500.SH,11878206.566279998,11798507.52646,0.0,0,-79699.03981999867,11878206.566279998,54,30,24,FINAL13_F2v3_ORIG38_G2PIT,False,True
512070.SH,21321006.14856,21243452.15966,0.0,0,-77553.98889999837,21321006.14856,182,99,83,FINAL13_F2v3_ORIG38_G2PIT,False,True
159966.SZ,3646828.319820001,3570673.52244,0.0,0,-76154.79738000082,3646828.319820001,29,15,14,FINAL13_F2v3_ORIG38_G2PIT,True,False
159326.SZ,11022448.0488,10950112.43942,0.0,0,-72335.6093800012,11022448.0488,33,22,11,FINAL13_F2v3_ORIG38_G2PIT,False,True
150201.SZ,3181144.40166,3118675.1402000003,0.0,0,-62469.26145999972,3181144.40166,33,17,16,FINAL13_F2v3_ORIG38_G2PIT,True,False
516310.SH,16367968.139039999,16313317.38386,0.0,0,-54650.755179999396,16367968.139039999,61,33,28,FINAL13_F2v3_ORIG38_G2PIT,False,True
563300.SH,5097030.00216,5046076.4828200005,0.0,0,-50953.519339999184,5097030.00216,19,10,9,FINAL13_F2v3_ORIG38_G2PIT,False,True
518880.SH,29515783.976400003,29469234.374119997,0.0,0,-46549.60228000581,29515783.976400003,224,127,97,FINAL13_F2v3_ORIG38_G2PIT,False,True
512100.SH,11652733.080599999,11609787.578,0.0,0,-42945.50259999931,11652733.080599999,81,43,38,FINAL13_F2v3_ORIG38_G2PIT,False,True
159981.SZ,18729486.94836,18687957.76078,0.0,0,-41529.18758000061,18729486.94836,93,54,39,FINAL13_F2v3_ORIG38_G2PIT,False,True
162411.SZ,9340095.045480002,9300728.68216,0.0,0,-39366.36332000233,9340095.045480002,80,47,33,FINAL13_F2v3_ORIG38_G2PIT,True,False
159939.SZ,2136478.7103,2097265.9629,0.0,0,-39212.74739999976,2136478.7103,18,9,9,FINAL13_F2v3_ORIG38_G2PIT,True,False
512890.SH,15994482.956939999,15957520.75742,0.0,0,-36962.199519999325,15994482.956939999,82,43,39,FINAL13_F2v3_ORIG38_G2PIT,False,True
511880.SH,42226154.5422,42195335.54474001,0.0,0,-30818.997459992766,42226154.5422,299,179,120,FINAL13_F2v3_ORIG38_G2PIT,False,True
512700.SH,10536686.61594,10507858.008000001,0.0,0,-28828.60793999955,10536686.61594,55,31,24,FINAL13_F2v3_ORIG38_G2PIT,True,False
512760.SH,2239774.5653399997,2214187.074,0.0,0,-25587.491339999717,2239774.5653399997,18,10,8,FINAL13_F2v3_ORIG38_G2PIT,True,False
150019.SZ,979482.55734,955993.5630399999,0.0,0,-23488.994300000137,979482.55734,9,5,4,FINAL13_F2v3_ORIG38_G2PIT,True,False
