date,trade_date,ts_code,action,reason,price,shares,gross_cost,cost,net_cost,partial,score,gross_proceeds,net_proceeds,strategy,window_id,name,is_dynamic_only,trade_value
2020-10-26,2020-10-27,159919.SZ,SELL,RANK_OUT,4.678,63000,,58.942800000000005,,False,,294714.0,294655.0572,static64,1,嘉实沪深300ETF,False,294655.0572
2020-10-26,2020-10-27,510050.SH,SELL,RANK_OUT,3.349,87900,,58.87542000000001,,False,,294377.10000000003,294318.22458000004,static64,1,华夏上证50ETF,False,294318.22458000004
2020-10-26,2020-10-27,510300.SH,SELL,RANK_OUT,4.737,59700,,56.55978000000001,,False,,282798.9,282742.34022,static64,1,华泰柏瑞沪深300ETF,False,282742.34022
2020-10-26,2020-10-27,511880.SH,BUY,RANK_IN,101.695,14300,1454238.5,290.84770000000003,1454529.3477,False,0.0254567041215443,,,static64,1,银华货币ETF-A,False,1454529.3477
2020-10-26,2020-10-27,512070.SH,SELL,RANK_OUT,2.525,193200,,97.566,,False,,487830.0,487732.434,static64,1,易方达沪深300非银行金融ETF,False,487732.434
2020-10-26,2020-10-27,513050.SH,SELL,RANK_OUT,2.075,49900,,20.708500000000004,,False,,103542.5,103521.79150000002,static64,1,易方达中证海外中国互联网50ETF(QDII),False,103521.79150000002
2020-10-27,2020-10-28,159920.SZ,BUY,RANK_IN,1.338,6400,8563.2,1.7126400000000002,8564.91264,False,0.0046691450896986,,,static64,1,华夏恒生ETF(QDII),False,8564.91264
2020-10-28,2020-10-29,159920.SZ,SELL,RANK_OUT,1.317,6400,,1.68576,,False,,8428.8,8427.114239999999,static64,1,华夏恒生ETF(QDII),False,8427.114239999999
2020-10-28,2020-10-29,159980.SZ,BUY,RANK_IN,1.183,7100,8399.300000000001,1.6798600000000004,8400.979860000001,False,0.0183356989370427,,,static64,1,大成有色金属期货ETF,False,8400.979860000001
2020-10-29,2020-10-30,159920.SZ,BUY,RANK_IN,1.319,5700,7518.299999999999,1.50366,7519.80366,False,0.0606475541699194,,,static64,1,华夏恒生ETF(QDII),False,7519.80366
2020-10-29,2020-10-30,159980.SZ,SELL,STOP_LOSS|ATR_STOP,1.069,7100,,1.51798,,False,,7589.9,7588.38202,static64,1,大成有色金属期货ETF,False,7588.38202
2020-10-30,2020-11-02,159920.SZ,SELL,RANK_OUT,1.307,5700,,1.48998,,False,,7449.9,7448.410019999999,static64,1,华夏恒生ETF(QDII),False,7448.410019999999
