variant,frequency,fill_mode,target_num,roundtrip_cost_bp,use_dynamic_lookback,dynamic_score_margin,dynamic_overheat_threshold,dynamic_overheat_penalty,use_drawdown_filter,use_premium_penalty,premium_threshold,premium_penalty,stop_loss,annual_return,cagr,sharpe_ratio,max_drawdown,total_return,final_value,trade_count,buy_count,sell_count,dynamic_buy_count
friend_f2pit_base,5min,same_0955_open,1,7.0,True,0.0,0.1,0.5,True,True,0.05,1.0,0.0,0.1595193836996852,0.0672917011383738,0.38877276698948565,-0.6938950764420264,0.49924186525463377,753453.3721126944,1039,520,519,128
friend_f2pit_guarded,5min,same_0955_open,1,7.0,True,0.05,0.1,0.5,True,True,0.05,1.0,0.08,0.15183875530306767,0.0593412715272319,0.3705033705471808,-0.6940870967702628,0.43113149129529527,719224.0778775015,1029,515,514,112
friend_f2pit_no_premium,5min,same_0955_open,1,7.0,True,0.05,0.1,0.5,True,False,0.05,0.0,0.08,0.1379099652976482,0.04297412574642867,0.3334179205495647,-0.6823376942377937,0.2990608020578671,652851.127342074,1033,517,516,116
friend_f2pit_base,5min,same_0955_open,3,7.0,True,0.0,0.1,0.5,True,True,0.05,1.0,0.0,0.2742868756257228,0.2651363471080923,0.9826615401205037,-0.37041534035275314,3.316342285543694,2160290.371434088,2109,1056,1053,255
friend_f2pit_guarded,5min,same_0955_open,3,7.0,True,0.05,0.1,0.5,True,True,0.05,1.0,0.08,0.30795280050654983,0.3093200351053542,1.1127669072840718,-0.3463384395452004,4.343435778249645,2693822.652887869,2041,1022,1019,136
friend_f2pit_no_premium,5min,same_0955_open,3,7.0,True,0.05,0.1,0.5,True,False,0.05,0.0,0.08,0.3018998398692351,0.30069265728706407,1.0831049742001737,-0.34537113647708995,4.128226637485869,2585327.8037764053,2049,1026,1023,141
friend_f2pit_base,5min,next_day_open,1,7.0,True,0.0,0.1,0.5,True,True,0.05,1.0,0.0,0.19706512522405492,0.10487643218562948,0.47194502847517467,-0.6063085271136115,0.8585051479378343,941513.2518328566,1039,520,519,128
friend_f2pit_guarded,5min,next_day_open,1,7.0,True,0.05,0.1,0.5,True,True,0.05,1.0,0.08,0.1869060153798206,0.09378188232807672,0.44779449418793016,-0.6077362058544242,0.7455273191125751,884279.0154250037,1029,515,514,112
friend_f2pit_no_premium,5min,next_day_open,1,7.0,True,0.05,0.1,0.5,True,False,0.05,0.0,0.08,0.18200851591525535,0.08932292806629216,0.4384382893067629,-0.6060470148958884,0.7017744802701626,862113.9557149746,1033,517,516,116
friend_f2pit_base,5min,next_day_open,3,7.0,True,0.0,0.1,0.5,True,True,0.05,1.0,0.0,0.2779464633194797,0.2705593326989242,1.0087239309117255,-0.3244095882839827,3.4284764119658266,2234582.557727993,2107,1055,1052,255
friend_f2pit_guarded,5min,next_day_open,3,7.0,True,0.05,0.1,0.5,True,True,0.05,1.0,0.08,0.3187299829989674,0.32492089232239674,1.1734481914510289,-0.3223824218870096,4.745439434572823,2879630.9513433515,2041,1022,1019,136
friend_f2pit_no_premium,5min,next_day_open,3,7.0,True,0.05,0.1,0.5,True,False,0.05,0.0,0.08,0.31818229019471694,0.3243540746580531,1.1735400286800821,-0.32198649989844597,4.730181929664823,2871983.8455172996,2049,1026,1023,141
