tag,profile,family,variant,notes,start,end,annual_return,sharpe_ratio,max_drawdown,annual_volatility,total_return,final_value,benchmark_annual,benchmark_sharpe,benchmark_drawdown,trade_count,buy_count,sell_count,win_rate,dynamic_buys,penalized_dynamic_buys,holdings_num,lookback_days,stop_loss,use_atr_stop_loss,atr_multiplier,use_short_momentum_filter,short_lookback_days,short_momentum_threshold,mr_ma_period,mr_threshold,mr_penalty,rebalance_interval,dynamic_fusion_mode,dynamic_max_slots,dynamic_max_total_weight,dynamic_score_margin,dynamic_overheat_lookback,dynamic_overheat_threshold,dynamic_overheat_penalty,alpha_vs_hs300
ABL_F2_STATIC_BASE_BASE,F2_STATIC,BASE,BASE,baseline,2013-07-01,2026-06-25,0.2872117619811729,1.4051492404368588,-0.2509889578458559,0.2043994713984112,26.919815405080065,13959907.702540033,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5881,3407,2474,0.46160064672594986,0,0,5,25,0.95,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24534004648765054
ABL_F2_STATIC_HOLD_H3,F2_STATIC,HOLD,H3,holdings_num=3,2013-07-01,2026-06-25,0.2856857937142547,1.1883389862536615,-0.3237317442981879,0.2404076589415812,23.769755056760072,12384877.528380036,0.041871715493522345,0.2174366296897144,-0.45602619306224157,4344,2405,1939,0.46106240330067044,0,0,3,25,0.95,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24381407822073234
ABL_F2_STATIC_HOLD_H4,F2_STATIC,HOLD,H4,holdings_num=4,2013-07-01,2026-06-25,0.3057152176578226,1.3903521116571909,-0.2561280550219587,0.219883305167519,32.761682883200066,16880841.441600032,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5215,2977,2238,0.46559428060768543,0,0,4,25,0.95,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.26384350216430025
ABL_F2_STATIC_HOLD_H5,F2_STATIC,HOLD,H5,holdings_num=5,2013-07-01,2026-06-25,0.2872117619811729,1.4051492404368588,-0.2509889578458559,0.2043994713984112,26.919815405080065,13959907.702540033,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5881,3407,2474,0.46160064672594986,0,0,5,25,0.95,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24534004648765054
ABL_F2_STATIC_HOLD_H6,F2_STATIC,HOLD,H6,holdings_num=6,2013-07-01,2026-06-25,0.2546079577707515,1.320842505803269,-0.2298111619274123,0.192761783976593,18.124499620920048,9562249.810460024,0.041871715493522345,0.2174366296897144,-0.45602619306224157,6233,3618,2615,0.45277246653919695,0,0,6,25,0.95,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.21273624227722918
ABL_F2_STATIC_HOLD_H8,F2_STATIC,HOLD,H8,holdings_num=8,2013-07-01,2026-06-25,0.2389410111858147,1.3649739904765934,-0.2014134793206354,0.1750516953824052,15.37297094472004,8186485.472360021,0.041871715493522345,0.2174366296897144,-0.45602619306224157,6732,3972,2760,0.4532608695652174,0,0,8,25,0.95,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.19706929569229237
ABL_F2_STATIC_STOP_SL90,F2_STATIC,STOP,SL90,fixed stop loss=0.90,2013-07-01,2026-06-25,0.2872210598225105,1.40513040404856,-0.2509876864831764,0.2044088285293301,26.922375551040044,13961187.775520025,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5885,3414,2471,0.46094698502630516,0,0,5,25,0.9,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24534934432898817
ABL_F2_STATIC_STOP_SL93,F2_STATIC,STOP,SL93,fixed stop loss=0.93,2013-07-01,2026-06-25,0.2872454832409255,1.405253396600782,-0.2511032517374519,0.2044083180554866,26.930936814120056,13965468.407060027,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5876,3410,2466,0.4610705596107056,0,0,5,25,0.93,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.2453737677474032
ABL_F2_STATIC_STOP_SL95,F2_STATIC,STOP,SL95,fixed stop loss=0.95,2013-07-01,2026-06-25,0.2872117619811729,1.4051492404368588,-0.2509889578458559,0.2043994713984112,26.919815405080065,13959907.702540033,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5881,3407,2474,0.46160064672594986,0,0,5,25,0.95,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24534004648765054
ABL_F2_STATIC_STOP_SL97,F2_STATIC,STOP,SL97,fixed stop loss=0.97,2013-07-01,2026-06-25,0.2866420277502021,1.4024289594909771,-0.251327721711557,0.2043896953284829,26.722342152760056,13861171.076380027,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5995,3469,2526,0.4564528899445764,0,0,5,25,0.97,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24477031225667975
ABL_F2_STATIC_STOP_SL99,F2_STATIC,STOP,SL99,fixed stop loss=0.99,2013-07-01,2026-06-25,0.283447960376286,1.3868844969471144,-0.2515397907067578,0.2043774813261141,25.638126173960067,13319063.086980034,0.041871715493522345,0.2174366296897144,-0.45602619306224157,6756,3816,2940,0.4248299319727891,0,0,5,25,0.99,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24157624488276366
ABL_F2_STATIC_STOP_SL_OFF,F2_STATIC,STOP,SL_OFF,disable fixed stop loss,2013-07-01,2026-06-25,0.2886412484176757,1.4114449653815422,-0.2509876864831764,0.2045005334938087,27.415742018480056,14207871.009240028,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5883,3413,2470,0.46072874493927124,0,0,5,25,0.0,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24676953292415335
ABL_F2_STATIC_ATR_ATR1p5,F2_STATIC,ATR,ATR1p5,ATR multiplier=1.5,2013-07-01,2026-06-25,0.2866417031874795,1.4022043814236502,-0.251087131020593,0.2044221990637726,26.720056809240035,13860028.404620018,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5980,3450,2530,0.458102766798419,0,0,5,25,0.95,True,1.5,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24476998769395716
ABL_F2_STATIC_ATR_ATR2p0,F2_STATIC,ATR,ATR2p0,ATR multiplier=2.0,2013-07-01,2026-06-25,0.2872117619811729,1.4051492404368588,-0.2509889578458559,0.2043994713984112,26.919815405080065,13959907.702540033,0.041871715493522345,0.2174366296897144,-0.45602619306224157,5881,3407,2474,0.46160064672594986,0,0,5,25,0.95,True,2.0,True,10,0.0,0,1.3,0.5,1,union,1,0.2,0.05,20,0.1,0.5,0.24534004648765054
