ts_code,reject_reason,count,setting,initial_cash
511880.SH,LOT_TOO_SMALL,632,F2_CAP_MA60,1000000.0
501018.SH,NO_MINUTE_DATA,205,F2_CAP_MA60,1000000.0
511990.SH,LOT_TOO_SMALL,107,F2_CAP_MA60,1000000.0
511360.SH,LOT_TOO_SMALL,105,F2_CAP_MA60,1000000.0
150153.SZ,NO_MINUTE_DATA,76,F2_CAP_MA60,1000000.0
150197.SZ,NO_MINUTE_DATA,64,F2_CAP_MA60,1000000.0
513310.SH,SUSPENDED_OR_NO_TURNOVER,63,F2_CAP_MA60,1000000.0
160723.SZ,SUSPENDED_OR_NO_TURNOVER,61,F2_CAP_MA60,1000000.0
511010.SH,LOT_TOO_SMALL,43,F2_CAP_MA60,1000000.0
513500.SH,LOT_TOO_SMALL,43,F2_CAP_MA60,1000000.0
513100.SH,LOT_TOO_SMALL,40,F2_CAP_MA60,1000000.0
160723.SZ,PARTIAL_CAPACITY,34,F2_CAP_MA60,1000000.0
501018.SH,NO_MINUTE_DATA,205,F2_CAP_MA60,30000000.0
150153.SZ,NO_MINUTE_DATA,76,F2_CAP_MA60,30000000.0
160723.SZ,SUSPENDED_OR_NO_TURNOVER,73,F2_CAP_MA60,30000000.0
150197.SZ,NO_MINUTE_DATA,64,F2_CAP_MA60,30000000.0
513310.SH,SUSPENDED_OR_NO_TURNOVER,63,F2_CAP_MA60,30000000.0
511880.SH,LOT_TOO_SMALL,50,F2_CAP_MA60,30000000.0
150152.SZ,NO_MINUTE_DATA,34,F2_CAP_MA60,30000000.0
160723.SZ,PARTIAL_CAPACITY,33,F2_CAP_MA60,30000000.0
150201.SZ,NO_MINUTE_DATA,32,F2_CAP_MA60,30000000.0
150228.SZ,NO_MINUTE_DATA,30,F2_CAP_MA60,30000000.0
513500.SH,LOT_TOO_SMALL,27,F2_CAP_MA60,30000000.0
511990.SH,LOT_TOO_SMALL,26,F2_CAP_MA60,30000000.0
511880.SH,LOT_TOO_SMALL,434,WideA,1000000.0
501018.SH,NO_MINUTE_DATA,199,WideA,1000000.0
511990.SH,LOT_TOO_SMALL,64,WideA,1000000.0
513310.SH,SUSPENDED_OR_NO_TURNOVER,63,WideA,1000000.0
150197.SZ,NO_MINUTE_DATA,62,WideA,1000000.0
150153.SZ,NO_MINUTE_DATA,58,WideA,1000000.0
160723.SZ,SUSPENDED_OR_NO_TURNOVER,56,WideA,1000000.0
510880.SH,LOT_TOO_SMALL,41,WideA,1000000.0
160723.SZ,PARTIAL_CAPACITY,33,WideA,1000000.0
150201.SZ,NO_MINUTE_DATA,32,WideA,1000000.0
510500.SH,LOT_TOO_SMALL,28,WideA,1000000.0
150228.SZ,NO_MINUTE_DATA,26,WideA,1000000.0
501018.SH,NO_MINUTE_DATA,199,Exph_v3_exp_looser,30000000.0
150197.SZ,NO_MINUTE_DATA,64,Exph_v3_exp_looser,30000000.0
513310.SH,SUSPENDED_OR_NO_TURNOVER,63,Exph_v3_exp_looser,30000000.0
150153.SZ,NO_MINUTE_DATA,62,Exph_v3_exp_looser,30000000.0
160723.SZ,SUSPENDED_OR_NO_TURNOVER,57,Exph_v3_exp_looser,30000000.0
150201.SZ,NO_MINUTE_DATA,32,Exph_v3_exp_looser,30000000.0
511880.SH,LOT_TOO_SMALL,32,Exph_v3_exp_looser,30000000.0
160723.SZ,PARTIAL_CAPACITY,31,Exph_v3_exp_looser,30000000.0
150228.SZ,NO_MINUTE_DATA,30,Exph_v3_exp_looser,30000000.0
150152.SZ,NO_MINUTE_DATA,26,Exph_v3_exp_looser,30000000.0
161226.SZ,SUSPENDED_OR_NO_TURNOVER,24,Exph_v3_exp_looser,30000000.0
510880.SH,PARTIAL_CAPACITY,19,Exph_v3_exp_looser,30000000.0
511880.SH,LOT_TOO_SMALL,504,Exph_v3_exp_looser,1000000.0
501018.SH,NO_MINUTE_DATA,199,Exph_v3_exp_looser,1000000.0
150197.SZ,NO_MINUTE_DATA,64,Exph_v3_exp_looser,1000000.0
511990.SH,LOT_TOO_SMALL,64,Exph_v3_exp_looser,1000000.0
513310.SH,SUSPENDED_OR_NO_TURNOVER,63,Exph_v3_exp_looser,1000000.0
150153.SZ,NO_MINUTE_DATA,62,Exph_v3_exp_looser,1000000.0
160723.SZ,SUSPENDED_OR_NO_TURNOVER,56,Exph_v3_exp_looser,1000000.0
150201.SZ,NO_MINUTE_DATA,32,Exph_v3_exp_looser,1000000.0
160723.SZ,PARTIAL_CAPACITY,31,Exph_v3_exp_looser,1000000.0
150228.SZ,NO_MINUTE_DATA,30,Exph_v3_exp_looser,1000000.0
511360.SH,LOT_TOO_SMALL,29,Exph_v3_exp_looser,1000000.0
510880.SH,LOT_TOO_SMALL,28,Exph_v3_exp_looser,1000000.0
501018.SH,NO_MINUTE_DATA,199,WideA,30000000.0
513310.SH,SUSPENDED_OR_NO_TURNOVER,63,WideA,30000000.0
150197.SZ,NO_MINUTE_DATA,62,WideA,30000000.0
150153.SZ,NO_MINUTE_DATA,58,WideA,30000000.0
160723.SZ,SUSPENDED_OR_NO_TURNOVER,57,WideA,30000000.0
511880.SH,LOT_TOO_SMALL,34,WideA,30000000.0
150201.SZ,NO_MINUTE_DATA,32,WideA,30000000.0
160723.SZ,PARTIAL_CAPACITY,31,WideA,30000000.0
150228.SZ,NO_MINUTE_DATA,26,WideA,30000000.0
161226.SZ,SUSPENDED_OR_NO_TURNOVER,24,WideA,30000000.0
150152.SZ,NO_MINUTE_DATA,22,WideA,30000000.0
511990.SH,LOT_TOO_SMALL,20,WideA,30000000.0
