setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_participation,avg_abs_exposure_gap
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,5.0,0.1,0.609489412913499,0.7682646915835905,2.1825689674087845,-0.1390049604823712,0.2767083221819002,1303716.620441287,720.0,0.7736111111111111,0.2902777777777778,0.06527777777777778,0.42916666666666664,0.030555555555555555,0.14722222222222223,0.001388888888888889,6.724070450097847,0.016860743995748727,0.08234113611406602
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,7.0,0.1,0.6069047088757129,0.763700902106816,2.173175630804358,-0.13913211729607944,0.27529508908118405,1302273.490910485,720.0,0.7652777777777777,0.2875,0.06527777777777778,0.42083333333333334,0.030555555555555555,0.14722222222222223,0.001388888888888889,7.2631578947368425,0.0167854946796385,0.08230170050167987
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,10.0,0.1,0.6027996597790797,0.7564702882849119,2.1581543830544163,-0.13931366904916942,0.27305175665497594,1299982.7016061402,718.0,0.7743732590529248,0.29108635097493035,0.06545961002785515,0.4275766016713092,0.03064066852367688,0.14763231197771587,0.001392757660167131,8.014734774066797,0.016903239527628327,0.0822615016603021
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,15.0,0.1,0.5944785275117601,0.7419116901220575,2.1278550908191765,-0.13969820718418902,0.26851881877816575,1295303.2254222631,720.0,0.7777777777777778,0.28194444444444444,0.06527777777777778,0.4375,0.030555555555555555,0.14722222222222223,0.001388888888888889,9.470019342359768,0.016623621162768866,0.08216428861341311
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,20.0,0.1,0.5835216933707672,0.7228682047695683,2.0871146652997368,-0.1402428701795685,0.262556671927211,1289089.1705138797,720.0,0.7791666666666667,0.28888888888888886,0.06527777777777778,0.4361111111111111,0.030555555555555555,0.14722222222222223,0.001388888888888889,11.0478515625,0.016739443157645542,0.0821427826261503
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,5.0,0.1,0.7585183528209324,1.0521147505313109,2.7218654209546553,-0.12637112058023092,0.3608200634862595,1377940.1301254816,690.0,0.6797101449275362,0.29130434782608694,0.0,0.3884057971014493,0.03188405797101449,0.1391304347826087,0.0014492753623188406,1.0756646216768917,0.0005439549104660447,0.07692687995579152
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,7.0,0.1,0.7475218524773689,1.0296451905747417,2.6809292451804048,-0.12702314208363985,0.3544141480531493,1371318.2164887674,695.0,0.6949640287769784,0.29640287769784174,0.0,0.3985611510791367,0.031654676258992806,0.1381294964028777,0.0014388489208633094,2.0593047034764824,0.0005428206359782412,0.07705925849073288
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,10.0,0.1,0.7315833584840025,0.9975299013085737,2.6219813427973007,-0.12796853085852444,0.34518754687803943,1361768.412214796,692.0,0.7023121387283237,0.3063583815028902,0.0,0.3959537572254335,0.031791907514450865,0.13872832369942195,0.001445086705202312,3.535416666666667,0.0005503491387056904,0.07747890530195771
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,15.0,0.1,0.7041949602944781,0.9434958926422374,2.520443192054281,-0.12961050405999797,0.32947047628681947,1345521.0160471303,691.0,0.6888567293777135,0.2952243125904486,0.0,0.39363241678726485,0.03183791606367583,0.1389290882778582,0.001447178002894356,6.008213552361396,0.0005380827332162646,0.07713302782624384
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,20.0,0.1,0.6756953759494675,0.8888847852161679,2.4162469350745464,-0.13119383691924213,0.3133297198072542,1328844.8414371368,689.0,0.6894049346879536,0.29898403483309144,0.0,0.3904208998548621,0.03193033381712627,0.13933236574746008,0.001451378809869376,8.503105590062113,0.0005388985381945096,0.0768762122685812
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,twap_0935_1030,5.0,0.1,0.7634960351772802,1.0623524339851809,2.740117478414281,-0.12609097710146133,0.36372546467673295,1380602.9553244652,689.0,0.6966618287373004,0.2960812772133527,0.0,0.4005805515239477,0.03193033381712627,0.13933236574746008,0.001451378809869376,1.0762886597938144,0.0005483205670483925,0.07694932980058121
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,1000000.0,twap_0935_1030,7.0,0.1,0.752162218204714,1.0391288197654127,2.6986897576360227,-0.12675589297905354,0.3571227823705858,1373781.3723789244,691.0,0.7062228654124457,0.2952243125904486,0.0,0.4109985528219971,0.03183791606367583,0.1389290882778582,0.001447178002894356,2.059548254620123,0.0005451534999675587,0.07693603855251044
